Distance (Å),Hole Transfer Integral (eV),Electron Transfer Integral (eV)
8.0,0.017,0.075
8.05,0.016,0.068
8.1,0.015,0.062
8.15,0.014,0.057
8.2,0.013,0.052
8.25,0.013,0.047
8.3,0.012,0.042
8.35,0.012,0.038
8.4,0.011,0.034
8.45,0.011,0.031
8.5,0.01,0.028
8.55,0.01,0.025
8.6,0.009,0.022
8.65,0.009,0.02
8.7,0.008,0.018
8.75,0.008,0.016
8.8,0.007,0.014
8.85,0.007,0.012
8.9,0.007,0.011
8.95,0.006,0.009
9.0,0.006,0.008
9.05,0.005,0.007
9.1,0.005,0.006
9.15,0.005,0.006
9.2,0.004,0.005
9.25,0.004,0.004
9.3,0.004,0.004
9.35,0.003,0.003
9.4,0.003,0.003
9.45,0.003,0.002
9.5,0.003,0.002
9.55,0.002,0.002
9.6,0.002,0.002
9.65,0.002,0.001
9.7,0.002,0.001
9.75,0.002,0.001
9.8,0.001,0.001
9.85,0.001,0.001
9.9,0.001,0.001
9.95,0.001,0.001
10.0,0.001,0.001
10.05,0.001,0.001
10.1,0.001,0.0
10.15,0.001,0.0
10.2,0.001,0.0
10.25,0.001,0.0
10.3,0.001,0.0
10.35,0.0,0.0
10.4,0.0,0.0
10.45,0.0,0.0
10.5,0.0,0.0
10.55,0.0,0.0
10.6,0.0,0.0
10.65,0.0,0.0
10.7,0.0,0.0
10.75,0.0,0.0
10.8,0.0,0.0
10.85,0.0,0.0
10.9,0.0,0.0
10.95,0.0,0.0
11.0,0.0,0.0
11.05,0.0,0.0
11.1,0.0,0.0
11.15,0.0,0.0
11.2,0.0,0.0
11.25,0.0,0.0
11.3,0.0,0.0
11.35,0.0,0.0
11.4,0.0,0.0
11.45,0.0,0.0
11.5,0.0,0.0
11.55,0.0,0.0
11.6,0.0,0.0
11.65,0.0,0.0
11.7,0.0,0.0
11.75,0.0,0.0
11.8,0.0,0.0
11.85,0.0,0.0
11.9,0.0,0.0
11.95,0.0,0.0
