Distance (Å),Hole Transfer Integral (eV),Electron Transfer Integral (eV)
8.0,0.063,0.073
8.05,0.056,0.065
8.1,0.05,0.058
8.15,0.045,0.052
8.2,0.04,0.046
8.25,0.035,0.041
8.3,0.031,0.036
8.35,0.028,0.032
8.4,0.024,0.028
8.45,0.021,0.025
8.5,0.019,0.022
8.55,0.017,0.019
8.6,0.014,0.017
8.65,0.013,0.015
8.7,0.011,0.013
8.75,0.01,0.011
8.8,0.008,0.01
8.85,0.007,0.008
8.9,0.006,0.007
8.95,0.006,0.006
9.0,0.005,0.005
9.05,0.004,0.005
9.1,0.004,0.004
9.15,0.003,0.003
9.2,0.003,0.003
9.25,0.002,0.002
9.3,0.002,0.002
9.35,0.002,0.002
9.4,0.002,0.001
9.45,0.001,0.001
9.5,0.001,0.001
9.55,0.001,0.001
9.6,0.001,0.001
9.65,0.001,0.001
9.7,0.001,0.0
9.75,0.001,0.0
9.8,0.001,0.0
9.85,0.001,0.0
9.9,0.0,0.0
9.95,0.0,0.0
10.0,0.0,0.0
10.05,0.0,0.0
10.1,0.0,0.0
10.15,0.0,0.0
10.2,0.0,0.0
10.25,0.0,0.0
10.3,0.0,0.0
10.35,0.0,0.0
10.4,0.0,0.0
10.45,0.0,0.0
10.5,0.0,0.0
10.55,0.0,0.0
10.6,0.0,0.0
10.65,0.0,0.0
10.7,0.0,0.0
10.75,0.0,0.0
10.8,0.0,0.0
10.85,0.0,0.0
10.9,0.0,0.0
10.95,0.0,0.0
11.0,0.0,0.0
11.05,0.0,0.0
11.1,0.0,0.0
11.15,0.0,0.0
11.2,0.0,0.0
11.25,0.0,0.0
11.3,0.0,0.0
11.35,0.0,0.0
11.4,0.0,0.0
11.45,0.0,0.0
11.5,0.0,0.0
11.55,0.0,0.0
11.6,0.0,0.0
11.65,0.0,0.0
11.7,0.0,0.0
11.75,0.0,0.0
11.8,0.0,0.0
11.85,0.0,0.0
11.9,0.0,0.0
11.95,0.0,0.0
