Distance (Å),Hole Transfer Integral (eV),Electron Transfer Integral (eV)
4.2,6.457,0.0
4.6,0.327,0.045
5.5,0.105,0.0
5.75,0.02,0.984
6.0,0.011,0.023
6.05,0.01,0.023
6.1,0.009,0.024
6.15,0.009,0.024
6.2,0.008,0.024
6.25,0.007,0.024
6.3,0.007,0.024
6.35,0.006,0.023
6.4,0.006,0.023
6.45,0.005,0.023
6.5,0.005,0.022
6.55,0.004,0.022
6.6,0.004,0.021
6.65,0.004,0.02
6.7,0.003,0.02
6.75,0.003,0.019
6.8,0.003,0.018
6.85,0.003,0.018
6.9,0.002,0.017
6.95,0.002,0.016
7.0,0.002,0.015
7.05,0.002,0.015
7.1,0.002,0.014
7.15,0.001,0.013
7.2,0.001,0.013
7.25,0.001,0.012
7.3,0.001,0.011
7.35,0.001,0.011
7.4,0.001,0.01
7.45,0.001,0.009
7.5,0.001,0.009
7.55,0.001,0.008
7.6,0.001,0.008
7.65,0.001,0.007
7.7,0.001,0.007
7.75,0.001,0.006
7.8,0.001,0.006
7.85,0.0,0.005
7.9,0.0,0.005
7.95,0.0,0.005
8.0,0.0,0.004
8.05,0.0,0.004
8.1,0.0,0.004
8.15,0.0,0.003
8.2,0.0,0.003
8.25,0.0,0.003
8.3,0.0,0.003
8.35,0.0,0.002
8.4,0.0,0.002
8.45,0.0,0.002
8.5,0.0,0.002
8.55,0.0,0.002
8.6,0.0,0.002
8.65,0.0,0.001
8.7,0.0,0.001
8.75,0.0,0.001
8.8,0.0,0.001
8.85,0.0,0.001
8.9,0.0,0.001
8.95,0.0,0.001
9.0,0.0,0.001
9.05,0.0,0.001
9.1,0.0,0.001
9.15,0.0,0.001
9.2,0.0,0.0
9.25,0.0,0.0
9.3,0.0,0.0
9.35,0.0,0.0
9.4,0.0,0.0
9.45,0.0,0.0
9.5,0.0,0.0
9.55,0.0,0.0
9.6,0.0,0.0
9.65,0.0,0.0
9.7,0.0,0.0
9.75,0.0,0.0
9.8,0.0,0.0
9.85,0.0,0.0
9.9,0.0,0.0
9.95,0.0,0.0
