Distance (Å),Hole Transfer Integral (eV),Electron Transfer Integral (eV)
4.6,0.0,0.0
5.9,0.001,0.013
5.95,0.001,0.012
6.0,0.001,0.012
6.05,0.001,0.011
6.1,0.001,0.011
6.15,0.0,0.01
6.2,0.0,0.01
6.25,0.0,0.009
6.3,0.0,0.009
6.35,0.0,0.008
6.4,0.0,0.008
6.45,0.0,0.007
6.5,0.0,0.007
6.55,0.0,0.006
6.6,0.0,0.006
6.65,0.0,0.006
6.7,0.0,0.005
6.75,0.0,0.005
6.8,0.0,0.005
6.85,0.0,0.004
6.9,0.0,0.004
6.95,0.0,0.004
7.0,0.0,0.003
7.05,0.0,0.003
7.1,0.0,0.003
7.15,0.0,0.003
7.2,0.0,0.003
7.25,0.0,0.002
7.3,0.0,0.002
7.35,0.0,0.002
7.4,0.0,0.002
7.45,0.0,0.002
7.5,0.0,0.002
7.55,0.0,0.001
7.6,0.0,0.001
7.65,0.0,0.001
7.7,0.0,0.001
7.75,0.0,0.001
7.8,0.0,0.001
7.85,0.0,0.001
7.9,0.0,0.001
7.95,0.0,0.001
8.0,0.0,0.001
8.05,0.0,0.001
8.1,0.0,0.001
8.15,0.0,0.001
8.2,0.0,0.0
8.25,0.0,0.0
8.3,0.0,0.0
8.35,0.0,0.0
8.4,0.0,0.0
8.45,0.0,0.0
