Distance (Å),Hole Transfer Integral (eV),Electron Transfer Integral (eV)
5.3,0.0,0.0
5.95,0.0,0.0
7.1,0.006,0.001
7.15,0.006,0.001
7.2,0.005,0.001
7.25,0.005,0.001
7.3,0.004,0.001
7.35,0.004,0.001
7.4,0.003,0.001
7.45,0.003,0.001
7.5,0.003,0.001
7.55,0.002,0.001
7.6,0.002,0.001
7.65,0.002,0.001
7.7,0.002,0.001
7.75,0.002,0.001
7.8,0.001,0.001
7.85,0.001,0.001
7.9,0.001,0.001
7.95,0.001,0.001
8.0,0.001,0.001
8.05,0.001,0.001
8.1,0.001,0.001
8.15,0.001,0.001
8.2,0.0,0.0
8.25,0.0,0.0
8.3,0.0,0.0
8.35,0.0,0.0
8.4,0.0,0.0
8.45,0.0,0.0
8.5,0.0,0.0
8.55,0.0,0.0
8.6,0.0,0.0
8.65,0.0,0.0
8.7,0.0,0.0
8.75,0.0,0.0
8.8,0.0,0.0
8.85,0.0,0.0
8.9,0.0,0.0
8.95,0.0,0.0
9.0,0.0,0.0
9.05,0.0,0.0
9.1,0.0,0.0
9.15,0.0,0.0
9.2,0.0,0.0
9.25,0.0,0.0
9.3,0.0,0.0
9.35,0.0,0.0
9.4,0.0,0.0
9.45,0.0,0.0
9.5,0.0,0.0
9.55,0.0,0.0
9.6,0.0,0.0
9.65,0.0,0.0
9.7,0.0,0.0
9.75,0.0,0.0
9.8,0.0,0.0
9.85,0.0,0.0
9.9,0.0,0.0
9.95,0.0,0.0
