Distance (Å),Hole Transfer Integral (eV),Electron Transfer Integral (eV)
3.7,0.267,0.323
3.9,0.0,0.0
3.95,0.0,0.0
4.3,0.0,0.0
4.35,0.0,0.0
4.4,4.331,0.0
4.45,0.0,0.0
4.5,0.0,0.0
4.9,0.258,0.445
5.65,0.0,0.0
6.55,0.006,0.01
6.6,0.005,0.009
6.65,0.005,0.008
6.7,0.005,0.008
6.75,0.004,0.007
6.8,0.004,0.007
6.85,0.004,0.006
6.9,0.003,0.006
6.95,0.003,0.005
7.0,0.003,0.005
7.05,0.003,0.005
7.1,0.002,0.004
7.15,0.002,0.004
7.2,0.002,0.004
7.25,0.002,0.003
7.3,0.002,0.003
7.35,0.002,0.003
7.4,0.001,0.003
7.45,0.001,0.002
7.5,0.001,0.002
7.55,0.001,0.002
7.6,0.001,0.002
7.65,0.001,0.002
7.7,0.001,0.002
7.75,0.001,0.001
7.8,0.001,0.001
7.85,0.001,0.001
7.9,0.001,0.001
7.95,0.001,0.001
8.0,0.0,0.001
8.05,0.0,0.001
8.1,0.0,0.001
8.15,0.0,0.001
8.2,0.0,0.001
8.25,0.0,0.001
8.3,0.0,0.001
8.35,0.0,0.0
8.4,0.0,0.0
8.45,0.0,0.0
8.5,0.0,0.0
8.55,0.0,0.0
8.6,0.0,0.0
8.65,0.0,0.0
8.7,0.0,0.0
8.75,0.0,0.0
8.8,0.0,0.0
8.85,0.0,0.0
8.9,0.0,0.0
8.95,0.0,0.0
9.0,0.0,0.0
9.05,0.0,0.0
9.1,0.0,0.0
9.15,0.0,0.0
9.2,0.0,0.0
9.25,0.0,0.0
9.3,0.0,0.0
9.35,0.0,0.0
9.4,0.0,0.0
9.45,0.0,0.0
9.5,0.0,0.0
9.55,0.0,0.0
9.6,0.0,0.0
9.65,0.0,0.0
9.7,0.0,0.0
9.75,0.0,0.0
9.8,0.0,0.0
9.85,0.0,0.0
9.9,0.0,0.0
9.95,0.0,0.0
